"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"26/48/H3 Đ. Lê Văn Quới, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Quán cà phê","true",,,"10.7766532","106.6017156","Thứ Tư","06:30 to 22:30","Thứ Năm","06:30 to 22:30","Thứ Sáu","06:30 to 22:30","Thứ Bảy","06:30 to 22:30","Chủ Nhật","06:30 to 22:30","Thứ Hai","06:30 to 22:30","Thứ Ba","06:30 to 22:30",,,"90","Bình Tân, Hồ Chí Minh","26/48/H3 Đ. Lê Văn Quới","Cafe lệ đá","3.5","https://www.google.com/maps/search/?api=1&query=Cafe%20l%E1%BB%87%20%C4%91%C3%A1&query_place_id=ChIJ-bqD9KYtdTERIDbYClwpEQo",,"235"
"496 Đ. Lê Văn Quới, Bình Trị Đông A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng tiệc đứng","true",,,"10.7764862","106.6034071",,,,,,,,,,,,,,,,,"82","Bình Tân, Hồ Chí Minh","496 Đ. Lê Văn Quới","Goni Bbq Buffet","3.4","https://www.google.com/maps/search/?api=1&query=Goni%20Bbq%20Buffet&query_place_id=ChIJRTD3EWssdTER5O_LmMmSDbQ",,"7"
"Hẻm 89 Phan Anh, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","false",,,"10.7626279","106.6221964","Thứ Tư","06:00 to 10:30","Thứ Năm","06:00 to 10:30","Thứ Sáu","06:00 to 10:30","Thứ Bảy","06:00 to 10:30","Chủ Nhật","Đóng cửa","Thứ Hai","05:30 to 10:30","Thứ Ba","06:00 to 10:30",,,"100","Bình Tân, Hồ Chí Minh","Hẻm 89 Phan Anh","Cơm Tấm Tuyết","4.4","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20Tuy%E1%BA%BFt&query_place_id=ChIJAe4Q40wtdTERZxO_zl0eyW0",,"45"
"45a Đ. Số 4, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.7845201","106.6088802",,,,,,,,,,,,,,,,,"81","Bình Tân, Hồ Chí Minh","45a Đ. Số 4","Cơm tấm A Kỳ",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20A%20K%E1%BB%B3&query_place_id=ChIJSSVxbIwtdTERx7BdNdAVwWI",,"0"
"26 Đ. Cây Cám, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh 71914, Việt Nam","Nhà hàng bán đồ ăn mang về","false",,,"10.7836514","106.5909457","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00","Thứ Ba","06:00 to 22:00","+84 344 795 354",,"84","Bình Tân, Hồ Chí Minh","26 Đ. Cây Cám","Bánh Lá Bánh Chưng Bà Tư",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20L%C3%A1%20B%C3%A1nh%20Ch%C6%B0ng%20B%C3%A0%20T%C6%B0&query_place_id=ChIJPRIB8hErdTER4CHmjhlkgU8",,"0"
"Chiến Lược, Bình Trị Đông, Bình Tân, Hồ Chí Minh 70000, Việt Nam","Nhà hàng ăn chay","false",,,"10.7619499","106.6139719","Thứ Tư","09:00 to 20:30","Thứ Năm","09:00 to 20:30","Thứ Sáu","09:00 to 20:30","Thứ Bảy","09:00 to 20:30","Chủ Nhật","09:00 to 20:30","Thứ Hai","09:00 to 20:30","Thứ Ba","09:00 to 20:30","+84 877 777 833",,"99","Bình Tân, Hồ Chí Minh","Chiến Lược","Tiệm chè Chesu",,"https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20ch%C3%A8%20Chesu&query_place_id=ChIJ02DDltstdTERJlaBe3VTteI",,"0"
"151/10 Trương Phước Phan, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng món nướng","true",,,"10.7613916","106.6117862",,,,,,,,,,,,,,,,,"97","Bình Tân, Hồ Chí Minh","151/10 Trương Phước Phan","Bún Thịt Nướng Cô Ba",,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Th%E1%BB%8Bt%20N%C6%B0%E1%BB%9Bng%20C%C3%B4%20Ba&query_place_id=ChIJOXJGt7wtdTERKWgW7LtUc34",,"0"
"217 Chiến Lược, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Tiệm bánh","true",,,"10.761737","106.6131206","Thứ Tư","06:00 to 23:45","Thứ Năm","06:00 to 23:45","Thứ Sáu","06:00 to 23:45","Thứ Bảy","06:00 to 23:45","Chủ Nhật","06:00 to 23:45","Thứ Hai","06:00 to 23:45","Thứ Ba","06:00 to 23:45","+84 907 955 508",,"96","Bình Tân, Hồ Chí Minh","217 Chiến Lược","Tiệm bánh mì Thành Phụng","4.8","https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20b%C3%A1nh%20m%C3%AC%20Th%C3%A0nh%20Ph%E1%BB%A5ng&query_place_id=ChIJCfRP7YAtdTERndvfmxsDLcs",,"4"
"Hẻm 242, 1B Bà Hom, Phường 13, Quận 6, Hồ Chí Minh, Việt Nam","Quán trà san sảnh","false",,,"10.7559331","106.6243327","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","+84 582 859 343",,"94","Quận 6, Hồ Chí Minh","Hẻm 242, 1B Bà Hom","Trà Detox Plus",,"https://www.google.com/maps/search/?api=1&query=Tr%C3%A0%20Detox%20Plus&query_place_id=ChIJLURv4PMtdTER60CwBw2zz5c",,"0"
"218 Chiến Lược, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.7619074","106.6135264",,,,,,,,,,,,,,,,,"95","Bình Tân, Hồ Chí Minh","218 Chiến Lược","GÀ RÁN ÔNG TẮC",,"https://www.google.com/maps/search/?api=1&query=G%C3%80%20R%C3%81N%20%C3%94NG%20T%E1%BA%AEC&query_place_id=ChIJJcI9moctdTERKgLhFn4JdbU",,"0"
"55 Đường số 1, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true","https://food.google.com/chooseprovider?restaurantId=/g/11vb_v5wc7&g2lbs=AOHF13nUgLIoPqZRfA4Ps3A6SDKxZOCsA0CBX_eRq3-COGEU4kDIcDuG0D0iols2T8PmA2GfTK3yPYJV9TFdY7PYByyRQZmn1rOeM2HrLoGwpEd90kTb5Kw%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=a99yZqjrJJSIwbkP3Yq7mAI&ei=a99yZqjrJJSIwbkP3Yq7mAI&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7853929","106.6064461",,,,,,,,,,,,,,,,,"83","Bình Tân, Hồ Chí Minh","55 Đường số 1","Cơm tấm Lê Gia","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20L%C3%AA%20Gia&query_place_id=ChIJc6XPyBItdTERD3BkF_hbeH4",,"1"
"720 Tên Lửa, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cho người ăn chay","true",,,"10.7550949","106.6095401","Thứ Tư","07:00 to 19:00","Thứ Năm","07:00 to 19:00","Thứ Sáu","07:00 to 19:00","Thứ Bảy","07:00 to 19:00","Chủ Nhật","07:00 to 19:00","Thứ Hai","07:00 to 19:00","Thứ Ba","07:00 to 19:00","+84 389 008 238",,"93","Bình Tân, Hồ Chí Minh","720 Tên Lửa","Quán Chay","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Chay&query_place_id=ChIJa4bX6DItdTERI-uxnPzMkq4",,"1"
"QJJ3+859, Đ. Gò Xoài, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","true",,,"10.7807754","106.6029795",,,,,,,,,,,,,,,"+84 918 492 888",,"78","Bình Tân, Hồ Chí Minh","QJJ3+859, Đ. Gò Xoài","Vựa Hải Sản Các Loại",,"https://www.google.com/maps/search/?api=1&query=V%E1%BB%B1a%20H%E1%BA%A3i%20S%E1%BA%A3n%20C%C3%A1c%20Lo%E1%BA%A1i&query_place_id=ChIJN5XI_WwsdTER11eCUQSSO0M",,"0"
"137 Đ. Số 4, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh 700000, Việt Nam",,"true",,,"10.7867578","106.6051568","Thứ Tư","09:00 to 21:00","Thứ Năm","09:00 to 21:00","Thứ Sáu","09:00 to 21:00","Thứ Bảy","09:00 to 21:00","Chủ Nhật","09:00 to 21:00","Thứ Hai","09:00 to 21:00","Thứ Ba","09:00 to 21:00","+84 357 624 023",,"76","Bình Tân, Hồ Chí Minh","137 Đ. Số 4","Quán Nhậu Miền Trung",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Nh%E1%BA%ADu%20Mi%E1%BB%81n%20Trung&query_place_id=ChIJCYPlLXMsdTERTn8qjiQt8SA",,"0"
"530 TL10, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng món chè bánh lọt","true",,,"10.7593665","106.6169914",,,,,,,,,,,,,,,,,"81","Bình Tân, Hồ Chí Minh","530 TL10","Bà bảy chè",,"https://www.google.com/maps/search/?api=1&query=B%C3%A0%20b%E1%BA%A3y%20ch%C3%A8&query_place_id=ChIJP8pkCfktdTERZ0t9s2NX5O4",,"0"
"QJ4C+JHC, An Lạc A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.7565597","106.6213938",,,,,,,,,,,,,,,,,"90","Bình Tân, Hồ Chí Minh","QJ4C+JHC","AHHA Cơm Văn Phòng - Cơm Ba Rọi Mắm Tỏi & Canh Bò Cải Chua",,"https://www.google.com/maps/search/?api=1&query=AHHA%20C%C6%A1m%20V%C4%83n%20Ph%C3%B2ng%20-%20C%C6%A1m%20Ba%20R%E1%BB%8Di%20M%E1%BA%AFm%20T%E1%BB%8Fi%20%26%20Canh%20B%C3%B2%20C%E1%BA%A3i%20Chua&query_place_id=ChIJyaFyeQAtdTERvCZeUXK_3X0",,"0"
"264B Đ. Bình Trị Đông, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.7711212","106.6094217",,,,,,,,,,,,,,,"+84 922 888 101",,"77","Bình Tân, Hồ Chí Minh","264B Đ. Bình Trị Đông","Quán Cơm 264B","5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20264B&query_place_id=ChIJdVFXOD4sdTERbbx-hA_uWRA",,"1"
"400 Tân Hòa Đông, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng ăn chay","true",,,"10.7670565","106.6163515",,,,,,,,,,,,,,,,,"89","Bình Tân, Hồ Chí Minh","400 Tân Hòa Đông","Thanh Tâm","3.7","https://www.google.com/maps/search/?api=1&query=Thanh%20T%C3%A2m&query_place_id=ChIJ9fK9MhwtdTERal1M10JBq0Q",,"3"
"821 TL10, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng","true","https://food.google.com/chooseprovider?restaurantId=/g/11twqgmnyk&g2lbs=AOHF13nDS5vcrz-vpi-Ek3dxh7s0tKYk0cZJ3c_cpvbNOjM9fLwm8WDWabpBKNocAmDVgsNHghQV45a5o3EZxJ5xXNI7EPaU3PEFA3kHJXm2WS6zteK5HxQ%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fN9yZuf1JqeFwbkPsaaO4AE&ei=fN9yZuf1JqeFwbkPsaaO4AE&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7581342","106.6083392",,,,,,,,,,,,,,,,,"85","Bình Tân, Hồ Chí Minh","821 TL10","Lyon Coffee - Milk Tea - 821 Tỉnh lộ 10","2","https://www.google.com/maps/search/?api=1&query=Lyon%20Coffee%20-%20Milk%20Tea%20-%20821%20T%E1%BB%89nh%20l%E1%BB%99%2010&query_place_id=ChIJ9WQea9ktdTERK3hbqvs84zE",,"1"
"423 Đ. Vành Đai Trong, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","false","https://food.google.com/chooseprovider?restaurantId=/g/11vpf890h9&g2lbs=AOHF13nf1uw6Ypt2KnSmB_Ekhq0mP5kSYGSVnayto9NOFqupnj7Db-mDBXoVchgaqkwJX7bFQtLhmGu7-hU7PMBv0dYbum2hEUbeeV7neapfDKNbFRh36Mc%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fN9yZoPwJqmawbkP0ZqkkAc&ei=fN9yZoPwJqmawbkP0ZqkkAc&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7547357","106.6150506",,,,,,,,,,,,,,,"+84 982 228 771",,"88","Bình Tân, Hồ Chí Minh","423 Đ. Vành Đai Trong","Cơm Tấm Đêm 3 Ngon chi nhánh 2","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20%C4%90%C3%AAm%203%20Ngon%20chi%20nh%C3%A1nh%202&query_place_id=ChIJTdKdAlAtdTERF-muihXUR9g",,"5"
"417, Bình Tân, Hồ Chí Minh, Việt Nam","Quán gà rán mang đi","false","https://food.google.com/chooseprovider?restaurantId=/g/11ldpc92hd&g2lbs=AOHF13nqZWa9ml0qgZ2qf89Csq6fmaZuUvotePlqvkJbiva3Sd70AeK5NaH3HF6DGOWYqklTKCYpIijJ32rQLhaMqh8PaQCIt8UdAeYielTnP8lneRDGAWE%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fN9yZp2zJ8uCkvQPg_GW2Ac&ei=fN9yZp2zJ8uCkvQPg_GW2Ac&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7744474","106.6089792","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","+84 935 847 919",,"80","Bình Tân, Hồ Chí Minh","417","GÀ NƯỚNG CƠM LAM TƯ HOÀNG 2",,"https://www.google.com/maps/search/?api=1&query=G%C3%80%20N%C6%AF%E1%BB%9ANG%20C%C6%A0M%20LAM%20T%C6%AF%20HO%C3%80NG%202&query_place_id=ChIJEwhRjwstdTERa5_MyKT0IiQ",,"0"
"22/5 Đ. số 14, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true","https://food.google.com/chooseprovider?restaurantId=/g/11t5k6prdy&g2lbs=AOHF13mkltBhWsyVJFflNaGAV7O8osy69vuxhPKX1wXbNdvU-WE1EUnUB0Qs0v44ukb0FTkma92YJSzyOiuKyin7cDfJl8y4HspF5HaT7_gW6deZJS84HjE%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fN9yZrjjJuyCwbkP8uK6yAc&ei=fN9yZrjjJuyCwbkP8uK6yAc&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7783165","106.6118781","Thứ Tư","08:30 to 20:00","Thứ Năm","08:30 to 20:00","Thứ Sáu","08:30 to 20:00","Thứ Bảy","08:30 to 20:00","Chủ Nhật","08:30 to 20:00","Thứ Hai","08:30 to 20:00","Thứ Ba","08:30 to 20:00","+84 968 663 456",,"79","Bình Tân, Hồ Chí Minh","22/5 Đ. số 14","Bếp nhà chang heathy eat clean","4","https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20nh%C3%A0%20chang%20heathy%20eat%20clean&query_place_id=ChIJl2layW4tdTERte6u1Xy9DRA",,"2"
"355 Tân Hòa Đông, Bình Trị Đông, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng","true","https://food.google.com/chooseprovider?restaurantId=/g/11kphtqtxj&g2lbs=AOHF13ln9-MVZzgZDtQjIV1_GTGqs_voD54zEVkHgPIZpp6ZAWsGutHHa_XB9hMSSc17pqjOt_EzRmSajTkqLH-m1Vbubl54alCpwgHsRuXlj9p2pl3qgx4%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fN9yZu_qJsmDwbkPn8SwoAw&ei=fN9yZu_qJsmDwbkPn8SwoAw&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7629813","106.6205677",,,,,,,,,,,,,,,,,"91","Bình Tân, Thành phố Hồ Chí Minh","355 Tân Hòa Đông","Bánh canh cua Quốc Bảo","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20canh%20cua%20Qu%E1%BB%91c%20B%E1%BA%A3o&query_place_id=ChIJiX_W9_UtdTERODlNE_j-sE0",,"1"
"197 Trương Phước Phan, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng đậu hũ","false","https://food.google.com/chooseprovider?restaurantId=/g/11tg6tnpp5&g2lbs=AOHF13nuoqEi-P0M6nMMciKcA0ElaHX2iAauYMKz8IsP6nIAjZIw8h4Ja7PsGMPxcvAftmXOnLEwf3AlxAl-t_m1HrGQPvHxS_KQVSLzRAVYXHEAZKdac3k%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fN9yZt3GJ96RwbkP0-6kkAs&ei=fN9yZt3GJ96RwbkP0-6kkAs&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7626128","106.6130284","Thứ Tư","10:00 to 21:30","Thứ Năm","10:00 to 21:30","Thứ Sáu","10:00 to 21:30","Thứ Bảy","10:00 to 21:30","Chủ Nhật","10:00 to 21:30","Thứ Hai","10:00 to 21:30","Thứ Ba","10:00 to 21:30","+84 934 552 260",,"87","Bình Tân, Hồ Chí Minh","197 Trương Phước Phan","Bún đậu mắm tôm Anh Bụng Bự","4.9","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%91%E1%BA%ADu%20m%E1%BA%AFm%20t%C3%B4m%20Anh%20B%E1%BB%A5ng%20B%E1%BB%B1&query_place_id=ChIJJXCrIkctdTERy2lN0fcYy4I",,"11"
"56g Trương Phước Phan, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.7724127","106.6139724",,,,,,,,,,,,,,,,,"75","Bình Tân, Hồ Chí Minh","56g Trương Phước Phan","Mì Trộn Ngon Ngon",,"https://www.google.com/maps/search/?api=1&query=M%C3%AC%20Tr%E1%BB%99n%20Ngon%20Ngon&query_place_id=ChIJi0w6fgAtdTERPSOhNr6qYfw",,"0"
"71 Đ. Gò Xoài, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.7799761","106.6028313",,,,,,,,,,,,,,,,,"74","Bình Tân, Hồ Chí Minh","71 Đ. Gò Xoài","Quán Ăn 71","4.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%2071&query_place_id=ChIJi8Bz92wsdTERM28VAFtA7hk",,"5"
"383 Mã Lò, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","true",,,"10.7765694","106.6007102",,,,,,,,,,,,,,,"+84 899 513 960",,"66","Bình Tân, Hồ Chí Minh","383 Mã Lò","Cửa Hàng Big Seafood",,"https://www.google.com/maps/search/?api=1&query=C%E1%BB%ADa%20H%C3%A0ng%20Big%20Seafood&query_place_id=ChIJqcZPwWssdTERlodIUGMPI4c",,"0"
"149A Đ. Gò Xoài, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh 700000, Việt Nam","Quán ăn nhỏ","false",,,"10.785379","106.604223","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","+84 783 123 538",,"70","Bình Tân, Hồ Chí Minh","149A Đ. Gò Xoài","Hủ Tiếu Nam Vang Mẹ Ri","5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20Ti%E1%BA%BFu%20Nam%20Vang%20M%E1%BA%B9%20Ri&query_place_id=ChIJz9FCPngtdTERJQCzVchI-_4",,"2"
"38/26 Ao Đôi, Bình Trị Đông A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.774732","106.5987183",,,,,,,,,,,,,,,,,"67","Bình Tân, Hồ Chí Minh","38/26 Ao Đôi","Ẩm thực Sân Vườn Đồng Quê","5","https://www.google.com/maps/search/?api=1&query=%E1%BA%A8m%20th%E1%BB%B1c%20S%C3%A2n%20V%C6%B0%E1%BB%9Dn%20%C4%90%E1%BB%93ng%20Qu%C3%AA&query_place_id=ChIJ68ZOEAAtdTERlQ3j0-InEPY",,"1"
"12 đường 5f, Bình Hưng Hoà, Bình Tân, Hồ Chí Minh 00700, Việt Nam","Quán súp","false",,,"10.7866127","106.6141739","Thứ Tư","06:30 to 21:30","Thứ Năm","06:30 to 21:30","Thứ Sáu","06:30 to 21:30","Thứ Bảy","06:30 to 21:30","Chủ Nhật","06:30 to 21:30","Thứ Hai","06:30 to 21:30","Thứ Ba","06:30 to 21:30","+84 938 088 982",,"73","Bình Tân, Hồ Chí Minh","12 đường 5f","Mì Gà Xá Kén - Chị Ngân","5","https://www.google.com/maps/search/?api=1&query=M%C3%AC%20G%C3%A0%20X%C3%A1%20K%C3%A9n%20-%20Ch%E1%BB%8B%20Ng%C3%A2n&query_place_id=ChIJVRxuXdUtdTERPeVY6SwtKwI",,"3"
"QJJ7+58C, Unnamed Road, Bình Hưng Hoà A, Bình Tân, Việt Nam","Nhà hàng châu Á","true",,,"10.7804405","106.6132674",,,,,,,,,,,,,,,"+84 934 153 917",,"69","Bình Tân, Hồ Chí Minh","QJJ7+58C, Unnamed Road","Bún bò Thanh Hải","5","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20b%C3%B2%20Thanh%20H%E1%BA%A3i&query_place_id=ChIJxzo2VXQtdTERSIBTYEz5DNQ",,"1"
"493 Đ. Lê Văn Quới, Bình Trị Đông A, Bình Tân, Hồ Chí Minh, Việt Nam","Cửa hàng bán đồ ăn nấu sẵn","false",,,"10.7762559","106.602859","Thứ Tư","06:00 to 11:00, 16:30 to 22:00","Thứ Năm","06:00 to 11:00, 16:30 to 22:00","Thứ Sáu","06:00 to 11:00, 16:30 to 22:00","Thứ Bảy","06:00 to 11:00, 16:30 to 22:00","Chủ Nhật","06:00 to 11:00, 16:30 to 22:00","Thứ Hai","06:00 to 11:00, 16:30 to 22:00","Thứ Ba","06:00 to 11:00, 16:30 to 22:00","+84 934 106 493",,"71","Bình Tân, Hồ Chí Minh","493 Đ. Lê Văn Quới","Bánh mì bò né 493","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20m%C3%AC%20b%C3%B2%20n%C3%A9%20493&query_place_id=ChIJZQny9BktdTERnlP9m2vaEBU",,"1"
"343 Đ. Bình Trị Đông, Bình Trị Đông A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.7708061","106.6092482",,,,,,,,,,,,,,,,,"65","Bình Tân, Hồ Chí Minh","343 Đ. Bình Trị Đông","Hà Nội Quán","4","https://www.google.com/maps/search/?api=1&query=H%C3%A0%20N%E1%BB%99i%20Qu%C3%A1n&query_place_id=ChIJFR3KGm8tdTERffGfNug2pZY",,"1"
"70 Đ. số 14, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh 10000, Việt Nam","Quán cà phê","false","https://food.google.com/chooseprovider?restaurantId=/g/11vjys_c26&g2lbs=AOHF13mJkoUX_szTs_XgOkX8EaMve34g4YAs9EzF7viHtdBp1QI3cAPCdk_8X_wYAeGmn-MLvzxMyC8m2mGq3UqiYFTwDlH_LA%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=jd9yZqfoENnJkPIPnrKGQA&ei=jd9yZqfoENnJkPIPnrKGQA&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.78006","106.612023","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","06:00 to 22:00","Thứ Ba","06:00 to 22:00","+84 838 081 416",,"72","Bình Tân, Hồ Chí Minh","70 Đ. số 14","Sky Horse coffee",,"https://www.google.com/maps/search/?api=1&query=Sky%20Horse%20coffee&query_place_id=ChIJjUM4VAAtdTER2ExwFA9dOKw",,"0"
"45 Trương Phước Phan, Bình Trị Đông, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng ăn chay","true",,,"10.7712669","106.6140044","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00","Thứ Ba","06:00 to 21:00","+84 985 800 492",,"63","Bình Tân, Hồ Chí Minh","45 Trương Phước Phan","Quán chay Thanh Ngân",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20chay%20Thanh%20Ng%C3%A2n&query_place_id=ChIJLb66eTwtdTER22VA_oz75JI",,"0"
"749 TL10, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng Việt Nam","true",,,"10.7577263","106.6103294",,,,,,,,,,,,,,,,,"76","Bình Tân, Hồ Chí Minh","749 TL10","Hủ tíu mì - hoành thánh - nui - bánh canh","4","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20t%C3%ADu%20m%C3%AC%20-%20ho%C3%A0nh%20th%C3%A1nh%20-%20nui%20-%20b%C3%A1nh%20canh&query_place_id=ChIJ62O9MQAtdTERcF_6pHMmZIo",,"1"
